"raceId","driverId","stop","lap","time","duration","milliseconds"
843,18,3,37,"16:08:00","21.237",21237
843,808,2,37,"16:08:34","22.005",22005
843,1,3,38,"16:09:38","20.567",20567
843,3,3,39,"16:11:19","20.720",20720
843,30,3,39,"16:11:49","21.400",21400
843,17,3,40,"16:13:29","21.091",21091
843,10,3,39,"16:14:17","33.827",33827
843,5,2,40,"16:14:27","21.890",21890
843,813,3,40,"16:14:36","27.620",27620
843,15,2,42,"16:18:14","22.260",22260
843,24,3,45,"16:25:39","23.499",23499
843,16,3,47,"16:26:24","28.708",28708
843,815,3,48,"16:28:01","13.900",13900
843,815,4,50,"16:31:39","28.845",28845
844,815,1,1,"15:05:18","29.270",29270
844,30,1,2,"15:06:35","30.182",30182
844,808,1,8,"15:16:06","21.422",21422
844,13,1,9,"15:17:37","22.022",22022
844,1,1,9,"15:17:38","20.833",20833
844,67,1,9,"15:17:47","21.769",21769
844,17,1,10,"15:19:04","21.050",21050
844,4,1,10,"15:19:05","21.308",21308
844,3,1,10,"15:19:09","22.573",22573
844,2,1,10,"15:19:16","22.300",22300
844,22,1,10,"15:19:20","22.717",22717
844,16,1,10,"15:19:22","21.649",21649
844,20,1,11,"15:20:32","20.623",20623
844,814,1,11,"15:21:00","20.775",20775
844,813,1,11,"15:21:09","23.881",23881
844,18,1,13,"15:23:57","21.368",21368
844,155,1,13,"15:24:09","21.820",21820
844,153,1,13,"15:24:25","22.713",22713
844,15,1,13,"15:24:28","23.066",23066
844,30,2,14,"15:26:02","20.907",20907
844,39,1,14,"15:26:26","27.353",27353
844,5,1,15,"15:27:42","22.854",22854
844,24,1,15,"15:28:03","24.634",24634
844,815,2,16,"15:29:30","22.895",22895
844,816,1,16,"15:29:37","22.779",22779
844,24,2,16,"15:30:57","56.611",56611
844,808,2,19,"15:33:42","21.323",21323
844,1,2,20,"15:35:09","21.075",21075
844,17,2,21,"15:36:27","20.421",20421
844,3,2,22,"15:38:24","20.927",20927
844,2,2,22,"15:38:25","21.919",21919
844,4,2,23,"15:39:35","21.732",21732
844,13,2,23,"15:39:58","21.322",21322
844,67,2,23,"15:40:07","22.128",22128
844,155,2,23,"15:40:15","23.455",23455
844,22,2,24,"15:41:43","22.868",22868
844,814,2,24,"15:41:50","20.930",20930
844,20,2,25,"15:42:31","20.112",20112
